feature,fraud_mean,fn_mean,fn_std,deviation_from_fraud,abs_deviation
V228,2.0557898151151477,1.232827187274042,1.367661880744577,-0.2909588427710491,0.2909588427710491
V69,0.08141420694129095,0.16702819956616052,0.39572286884794167,0.29002559984430526,0.29002559984430526
V230,2.318196561790464,1.3355025307302966,1.8910878701592992,-0.2893407786830575,0.2893407786830575
V91,0.09146934803762569,0.18944323933477947,0.4630843172391574,0.2890007277069796,0.2890007277069796
id_31,58.07784625364904,52.348517715112074,16.807370688213684,-0.2887731626503372,0.2887731626503372
V70,0.08757703535517353,0.18076644974692696,0.442666884621411,0.28637710627166396,0.28637710627166396
V30,0.08984755108660396,0.18655097613882862,0.46581382975546015,0.28448850953174093,0.28448850953174093
V200,2.0012974375608175,1.0751988430947217,0.4534633729651681,-0.28344945581857434,0.28344945581857434
V190,1.925072980862796,1.0477223427331888,0.25639480537363246,-0.2813415553298565,0.2813415553298565
V189,1.7171586117418098,0.9862617498192335,0.17585633617916627,-0.28068983049542845,0.28068983049542845
V87,1.7547843010055142,1.203181489515546,0.5117335265586449,-0.280098825491551,0.280098825491551
M5,0.16607200778462536,0.26970354302241506,0.44396628538232374,0.2784254900688792,0.2784254900688792
V45,1.7580278949075576,1.1973969631236443,0.48502213913040276,-0.27758757065326084,0.27758757065326084
V29,0.07719753486863444,0.15835140997830802,0.3938024227981601,0.27747933605879427,0.27747933605879427
M6,0.1670450859552384,0.26898047722342733,0.44359019306904984,0.27322909874290036,0.27322909874290036
M3,0.8777165098929613,0.7903109182935647,0.4072339420753682,-0.26675202499675477,0.26675202499675477
V186,1.5637366201751541,1.0122921185827911,0.14926504458203083,-0.2664370095556604,0.2664370095556604
V48,0.051897502432695426,0.11424439624005785,0.33806868837041265,0.2657020005970305,0.2657020005970305
V229,2.6211482322413233,1.408532176428055,2.1972518225878255,-0.26544117907200854,0.26544117907200854
V49,0.056438533895556274,0.12436731742588576,0.3733224139383169,0.2626317381738893,0.2626317381738893
V218,2.168342523516056,0.8141720896601591,3.332213753652498,-0.26247846599618696,0.26247846599618696
V211,48.38042945982456,14.623481196764148,78.20120023711237,-0.26188610359342857,0.26188610359342857
V265,100.29611418837275,27.80236692645803,113.32162442064475,-0.2611614282098082,0.2611614282098082
V231,1.0418423613363608,0.34345625451916123,2.0446991716826557,-0.2597515758364832,0.2597515758364832
V99,0.7758676613687966,1.2964569775849601,2.45339373904338,0.2590148834588979,0.2590148834588979
V188,1.6055789815115147,0.9840925524222705,0.17360157853659608,-0.2588938838242642,0.2588938838242642
V44,1.4761595848199804,1.140997830802603,0.43995906844337934,-0.2576580465979921,0.2576580465979921
V274,73.94384976837722,21.715500093075303,105.92300484764537,-0.25673250274727705,0.25673250274727705
V264,114.00359683349231,37.878573994315886,147.34041453387061,-0.255737802226636,0.255737802226636
V275,65.87252942981405,18.681923826966525,92.8820609410895,-0.2553413701769761,0.2553413701769761
V202,78.5410404822442,24.626203855913097,116.15858082756276,-0.2552986120713622,0.2552986120713622
V167,1.4826467726240675,0.4692697035430224,2.1664532096716305,-0.250153929791274,0.250153929791274
C7,2.778138177100227,0.23355025307302965,0.649815329581899,-0.24938193741455622,0.24938193741455622
V100,0.30230295167045085,0.48879248011569054,0.9401697522932772,0.247468697271286,0.247468697271286
V233,1.2873824197210508,0.45480838756326825,2.63656322644645,-0.24713435920691454,0.24713435920691454
V273,54.66810160768987,14.609281242023062,77.21116547478807,-0.24670680932043196,0.24670680932043196
V280,1.437236457995459,2.2212581344902387,4.242495290345126,0.24644417794112056,0.24644417794112056
V263,85.58784885906067,21.236437720487018,96.05364645169186,-0.24618545763637598,0.24618545763637598
card6,1.5705481673694452,1.6919739696312364,0.4618443732272789,0.2452658873402828,0.2452658873402828
V232,1.5034057735971456,0.4837310195227766,2.66365688099942,-0.2438037836152179,0.2438037836152179
D15,77.6493674991891,113.64063629790311,177.81535325320348,0.24107136054900602,0.24107136054900602
D10,43.992864093415506,71.46637744034707,140.56388967811276,0.23947426408865152,0.23947426408865152
id_01,-12.107362958157639,-8.007953723788864,11.681584469087289,0.23538829842098188,0.23538829842098188
M9,0.9192345118391178,0.8553868402024585,0.3518376073000593,-0.23428719203145143,0.23428719203145143
V289,0.3159260460590334,0.4924078091106291,0.9600071913908699,0.2310396532175286,0.2310396532175286
V176,2.119688614985404,1.2588575560375994,1.4150649540298146,-0.23082543759331212,0.23082543759331212
V170,2.4459941615309764,1.507592190889371,2.2109565155053628,-0.2284878114401714,0.2284878114401714
V194,1.108660395718456,0.9783080260303688,0.15534202211790907,-0.22763857890138825,0.22763857890138825
V184,0.32533246837495944,0.06146059291395517,0.3157421249014373,-0.22721422769364885,0.22721422769364885
V213,65.99652644329709,28.411578971410435,133.94405552076384,-0.22550954461848838,0.22550954461848838
M2,0.9205319493999351,0.8597252349963846,0.34739749353749666,-0.2247839918594658,0.2247839918594658
V310,127.84657689135375,205.009308910163,417.0400409021943,0.22342589811046334,0.22342589811046334
C12,5.377554330197859,0.4924078091106291,0.7105114655574615,-0.22328893604566386,0.22328893604566386
id_02,176274.47469996757,144713.40925524224,90589.09452417605,-0.2194078619189269,0.2194078619189269
V288,0.23321440155692508,0.33694866232827186,0.5775477898889947,0.2073583662334945,0.2073583662334945
C9,2.4599416153097633,4.872017353579175,17.025611656998493,0.20463598092778032,0.20463598092778032
V177,1.092766785598443,0.3600867678958785,2.086181672866817,-0.20276031677611836,0.20276031677611836
D12,19.982484592928966,5.793926247288503,40.20157484603865,-0.20177644556832042,0.20177644556832042
V130,103.71414192241777,171.21707132909063,422.0625373889273,0.19998849922533113,0.19998849922533113
D1,39.09471294193967,59.60375994215474,125.15197378215399,0.19821503658599918,0.19821503658599918
V204,108.88585829990002,50.00108981632445,289.19993128240355,-0.19794398529189752,0.19794398529189752
V82,0.9805384365877392,0.8799710773680405,0.42877268968926663,-0.19582714179905808,0.19582714179905808
V259,1.6380149205319494,1.031814895155459,1.3901139852203939,-0.19409893573244164,0.19409893573244164
V284,0.1271488809601038,0.2017353579175705,0.4847275594638303,0.1917829561783091,0.1917829561783091
V237,0.372688939344794,0.08170643528561099,0.40951700470651514,-0.18997244303045624,0.18997244303045624
V168,2.0217320791436912,1.0260303687635575,4.790930205452789,-0.18896478877192838,0.18896478877192838
V83,1.0314628608498215,0.9240780911062907,0.4744012904134976,-0.18852557633770495,0.18852557633770495
V236,0.41485566007135904,0.1193058568329718,0.5599478821252006,-0.18825351343332972,0.18825351343332972
V123,1.1754784301005514,1.0578452639190166,0.26269831442951636,-0.18742388031491403,0.18742388031491403
V171,3.020434641582874,1.9906001446131598,4.9929673988164565,-0.18681709579763267,0.18681709579763267
V197,1.0960103795004865,0.9790310918293564,0.15775170928467575,-0.18626589818086467,0.18626589818086467
D14,24.837171586117417,6.7780187997107735,47.26166386232954,-0.18554757494341298,0.18554757494341298
V235,0.3454427505676289,0.06652205350686913,0.3204103409648747,-0.18529889117172352,0.18529889117172352
V3,1.0677911125527084,1.1243673174258857,0.3940667237671432,0.1848109641004598,0.1848109641004598
V248,1.21342847875446,1.0130151843817787,0.1516091370908804,-0.1838192327999499,0.1838192327999499
V239,0.3457671099578333,0.07447577729573392,0.39288995205694416,-0.18182160161305022,0.18182160161305022
V23,1.182614336685047,1.0701373825018077,0.28492855109844606,-0.18024166942200517,0.18024166942200517
V279,0.6454751865066494,0.9096167751265365,1.9103840880530447,0.17985552629751933,0.17985552629751933
M8,0.09601037950048653,0.14895155459146783,0.35616950280455595,0.17967279195774682,0.17967279195774682
