feature,xgb_gain,shap_mean_abs,perm_importance,mutual_info,xgb_gain_norm,shap_mean_abs_norm,perm_importance_norm,mutual_info_norm,composite_score
id_14,51.12345886230469,0.009782011,0.0003507871422933517,0.011635723571316925,0.007466124338278169,0.038021475,0.06663716973689866,0.3412996322798194,0.1133561003579179
V283,292.1831970214844,0.026726743,0.0008142711333262165,0.00752534273564609,0.04267074503690354,0.10388357,0.08526960377837978,0.22073373372215055,0.11313941361505324
dist2,43.129188537597656,0.007803247,-0.0008010373400110903,0.01348086662663972,0.006298632592486315,0.030330263,0.020332887152996252,0.3954214616981216,0.11309581113045422
V51,85.444580078125,0.0024335186,-2.0877852068679204e-05,0.012879339792400746,0.012478417405470678,0.009458789,0.051695934166829195,0.3777774461735271,0.1128526466041066
V114,50.07636642456055,8.8368855e-05,-6.8394010229289036e-06,0.013322541857397674,0.007313205844345184,0.0003434789,0.052260291336041445,0.3907774715593131,0.11267361190891409
V79,38.38779830932617,0.0009248282,-3.1416174767495694e-05,0.013247680604257184,0.0056061949177210494,0.0035946935,0.05127228500872997,0.3885816374960289,0.11226370272936015
D3,141.33822631835938,0.04881721,0.000949777240314198,0.005023306180362397,0.020641184984896373,0.1897465,0.09071705967657588,0.14734387094008536,0.11211215366578553
V35,76.99221801757812,0.0057158642,0.0005429489686826549,0.011581358447927181,0.011244025455071586,0.022216862,0.07436223171263226,0.3397049917309922,0.11188202774156908
D6,59.14813232421875,0.008197778,-0.00011272074946413468,0.012161844288707702,0.008638056190583018,0.031863756,0.04800377486681574,0.35673183177129836,0.11130935482663248
V177,99.07256317138672,0.0012745212,-0.0004937525516394148,0.013360126299555741,0.014468662559428124,0.004953908,0.032685985991483965,0.3918799003175565,0.1109971141677924
V153,85.91020965576172,0.0007260031,-5.5096861024672705e-06,0.01274873560273182,0.01254641844451577,0.0028218848,0.052313746959167205,0.37394655747674765,0.11040715192423578
M5,173.7396697998047,0.06912017,0.0014103074052784325,0.0012545312034524247,0.025373126272823107,0.26866162,0.10923074750360608,0.03679797270857748,0.11001586617943343
V36,67.39603424072266,0.0046484247,0.00010464533953666866,0.01208233224568711,0.00984258856395782,0.018067855,0.05674206873352883,0.35439958050403375,0.10976302329736162
V39,30.860937118530273,0.00091338396,-4.569894433221755e-05,0.01296438787633769,0.004506964099266422,0.0035502114,0.050698106036007946,0.3802720808729399,0.10975684061038388
V260,31.30521583557129,0.00045133368,-1.2050897131854477e-05,0.012918158045348127,0.004571847035908346,0.0017542785,0.0520507849466393,0.37891606513224363,0.10932324391617894
