feature,global_mean,fp_mean,fp_std,deviation,abs_deviation
C14,6.933292692563868,2.5995162404975813,32.21182075325988,-0.12688258958035006,0.12688258958035006
V270,1.1251495054192047,2.853058385453557,19.771702933298126,0.12464455334640338,0.12464455334640338
V336,14.970230636366715,0.756046993780235,11.34400303382926,-0.1220030089195458,0.1220030089195458
V6,1.043406599609397,1.0141672425708361,0.121089567645327,-0.121927551927335,0.121927551927335
M7,0.08160892290671815,0.04837595024187975,0.2145964363070322,-0.12139032891188546,0.12139032891188546
V4,0.898838351339452,0.9460953697304768,0.35157582033097007,0.12100368526902501,0.12100368526902501
V23,1.0324448809564128,1.0583966827919835,0.327942269695564,0.12003162069981599,0.12003162069981599
id_03,0.004605953872726657,0.02453351762266759,0.2624422773259482,0.11991764676417228,0.11991764676417228
V105,1.1517142502342488,0.14996544574982723,0.5568028197402685,-0.11877228279695883,0.11877228279695883
V296,1.123886612253192,0.20041465100207326,0.699058549767995,-0.11830407748668584,0.11830407748668584
V330,0.5862318104333887,0.05459571527297857,0.37800478482115907,-0.117189552381434,0.117189552381434
V329,1.0488818143845746,0.06599861782999308,0.4927382325104848,-0.11657822613619792,0.11657822613619792
V298,1.0923900159176347,0.19177608845888044,0.664273803307467,-0.11581843804237514,0.11581843804237514
V145,0.6740948961967014,0.13718037318590187,1.169455040708376,-0.11506465773716822,0.11506465773716822
V209,27.487793641231914,2.93380510864706,21.478533157026252,-0.11500760613064014,0.11500760613064014
V96,12.778959370519637,1.0390463026952315,1.7968543939423358,-0.11419339040380307,0.11419339040380307
V106,0.6480396473284339,0.1295784381478922,0.47778440935552496,-0.1141792317007558,0.1141792317007558
V189,1.0146193879048555,1.0739460953697304,0.38650567290174737,0.11248565311805803,0.11248565311805803
id_21,252.69215746040348,254.709398756047,36.162003481576264,0.11235599574384252,0.11235599574384252
V324,8.119788667998781,0.13648928818244643,0.67882055742045,-0.11233870911467836,0.11233870911467836
V112,1.0056106840067283,1.014512785072564,0.1196123231771814,0.11174047159284807,0.11174047159284807
V118,1.0016143416759802,1.0065653075328265,0.08077412176943816,0.11146162834025763,0.11146162834025763
id_38,0.05881622469829873,0.08500345542501728,0.27893503336756914,0.11130158141674908,0.11130158141674908
V234,1.2004718844899018,0.24568071872840358,2.052400397914061,-0.11100729147703907,0.11100729147703907
V333,866.6028696904395,20.823427781617138,140.14928928751974,-0.11086925408584407,0.11086925408584407
D14,9.471692575157201,15.957498272287491,79.99596812404687,0.11030439388271915,0.11030439388271915
V323,11.484912114336032,0.16136834830684174,0.871177092735208,-0.10992761193253234,0.10992761193253234
V165,810.1435039333924,39.23529023208038,502.2404634419006,-0.10861225327854718,0.10861225327854718
V97,8.600602838080402,0.8970283344851416,1.5165083565426636,-0.10849783153522109,0.10849783153522109
V36,0.7495286799652295,0.6969592259847961,0.5734153207179812,-0.10849595904412412,0.10849595904412412
V248,1.0123277000711213,1.0362819626814097,0.20467268256596774,0.10836275040373579,0.10836275040373579
V299,0.62002009460268,0.1630960608154803,0.5823236346899593,-0.1082017427445949,0.1082017427445949
V332,1187.0606286906766,30.541810642709052,291.2954085046143,-0.10766604303600398,0.10766604303600398
V103,7.522967679299173,0.4778852798894264,1.0844220542815788,-0.10689628675654922,0.10689628675654922
V249,1.0090651494112732,1.0314443676572218,0.18229493215497158,0.10641332533795099,0.10641332533795099
V213,738.5574468785444,17.837377952763187,86.66764745437418,-0.1057966496812441,0.1057966496812441
